Accuracy,Experiment,F1_score,Precision,Recall
0.7347114556416882,data3_symbolic0.2,0.7924528301886793,0.7295285359801489,0.8672566371681416
0.7372954349698536,data3_symbolic0.4,0.7940580688723835,0.7322540473225405,0.8672566371681416
0.7441860465116279,data3_symbolic0.6,0.799188640973631,0.7378277153558053,0.8716814159292036
0.756244616709733,data3_symbolic0.8,0.8070892978868439,0.7503168567807351,0.8731563421828908
