Accuracy,Experiment,F1_score,Precision,Recall
0.6685714285714286,senticnet,0.7607260726072608,0.672992700729927,0.8747628083491461
0.6628571428571428,ntusd,0.7396293027360988,0.6914191419141914,0.7950664136622391
0.6354285714285715,sentiwordnet,0.6917874396135266,0.7047244094488189,0.6793168880455408
0.6205714285714286,stocktwitlexi,0.7558823529411764,0.617046818727491,0.9753320683111955
0.7177142857142857,afinn,0.7408184679958026,0.8286384976525821,0.6698292220113852
0.7497142857142857,vader,0.7855044074436827,0.8117408906882592,0.7609108159392789
0.6068571428571429,sentidd,0.5425531914893617,0.9066666666666666,0.3870967741935484
0.6857142857142857,senticnet_ntusd_soft,0.7773279352226721,0.6779661016949152,0.9108159392789373
0.6834285714285714,senticnet_sentiwordnet_soft,0.7731367731367732,0.6801152737752162,0.8956356736242884
0.664,senticnet_stocktwitlexi_soft,0.768503937007874,0.6567967698519516,0.9259962049335864
0.6811428571428572,senticnet_afinn_soft,0.7699917559769167,0.6807580174927114,0.8861480075901328
0.7485714285714286,senticnet_vader_soft,0.8132427843803056,0.7357910906298003,0.9089184060721063
0.7497142857142857,senticnet_sentidd_soft,0.804986642920748,0.7583892617449665,0.857685009487666
0.6777142857142857,ntusd_sentiwordnet_soft,0.7526315789473684,0.6998368678629691,0.8140417457305503
0.6594285714285715,ntusd_stocktwitlexi_soft,0.7608346709470305,0.6592489568845619,0.8994307400379506
0.6857142857142857,ntusd_afinn_soft,0.7572815533980581,0.7079207920792079,0.8140417457305503
0.7931428571428571,ntusd_vader_soft,0.8419213973799126,0.7799352750809061,0.9146110056925996
0.7531428571428571,ntusd_sentidd_soft,0.7954545454545455,0.7939508506616257,0.7969639468690702
0.648,sentiwordnet_stocktwitlexi_soft,0.7656012176560122,0.639135959339263,0.9544592030360531
0.6994285714285714,sentiwordnet_afinn_soft,0.7598173515981735,0.7323943661971831,0.7893738140417458
0.7668571428571429,sentiwordnet_vader_soft,0.8145454545454546,0.7818499127399651,0.8500948766603416
0.7325714285714285,sentiwordnet_sentidd_soft,0.7669322709163346,0.8071278825995807,0.7305502846299811
0.6491428571428571,stocktwitlexi_afinn_soft,0.7714072970960536,0.6348039215686274,0.9829222011385199
