Accuracy,Experiment,F1_score,Precision,Recall
0.5848406546080964,senticnet,0.668956043956044,0.6259640102827764,0.7182890855457227
0.7614125753660638,ntusd,0.7909433962264151,0.8098918083462133,0.7728613569321534
0.5581395348837209,sentiwordnet,0.5859564164648912,0.6470588235294118,0.5353982300884956
0.6382428940568475,stocktwitlexi,0.7555296856810243,0.6240384615384615,0.9572271386430679
0.5383290267011197,afinn,0.508256880733945,0.6723300970873787,0.4085545722713864
0.5469422911283376,vader,0.5286738351254481,0.6735159817351598,0.4351032448377581
0.4797588285960379,sentidd,0.302540415704388,0.6968085106382979,0.19321533923303835
0.6683893195521102,senticnet_ntusd_soft,0.7410894418291863,0.681087762669963,0.8126843657817109
0.6072351421188631,senticnet_sentiwordnet_soft,0.6893732970027246,0.640506329113924,0.7463126843657817
0.6382428940568475,senticnet_stocktwitlexi_soft,0.7355163727959698,0.6417582417582418,0.8613569321533924
0.58656330749354,senticnet_afinn_soft,0.6675900277008311,0.6292428198433421,0.7109144542772862
0.6063738156761412,senticnet_vader_soft,0.66908037653874,0.6571834992887624,0.6814159292035398
0.5891472868217055,senticnet_sentidd_soft,0.6525855790240349,0.6446043165467625,0.6607669616519174
0.7665805340223945,ntusd_sentiwordnet_soft,0.7988121752041574,0.804185351270553,0.7935103244837758
0.7467700258397932,ntusd_stocktwitlexi_soft,0.8008130081300813,0.7406015037593985,0.8716814159292036
0.7510766580534023,ntusd_afinn_soft,0.7841672890216579,0.794251134644478,0.7743362831858407
0.7166236003445305,ntusd_vader_soft,0.7564766839378237,0.7592867756315007,0.7536873156342183
0.7088716623600344,ntusd_sentidd_soft,0.7355242566510172,0.7833333333333333,0.6932153392330384
0.6692506459948321,sentiwordnet_stocktwitlexi_soft,0.7669902912621359,0.6515463917525773,0.9321533923303835
0.5857019810508183,sentiwordnet_afinn_soft,0.624512099921936,0.6633499170812603,0.5899705014749262
0.6046511627906976,sentiwordnet_vader_soft,0.6354249404289117,0.6884681583476764,0.5899705014749262
0.5529715762273901,sentiwordnet_sentidd_soft,0.5700082850041426,0.6502835538752363,0.5073746312684366
0.664944013781223,stocktwitlexi_afinn_soft,0.7683144729005361,0.6443556443556444,0.9513274336283186
0.6873385012919897,stocktwitlexi_vader_soft,0.7562122229684352,0.6942046855733662,0.8303834808259587
